,Address,Beds_Min,Beds_Max,Baths_Min,Baths_Max,Sqft_Min,Sqft_Max,Lat,Lon,Distance,Rent,Rent_max,Neighborhood,City,Walk Score,Transit Score,Bike Score,Population
45,1380 Steele St,0,2,1.0,2.0,500,925,39.738056,-104.949162,1.444555664515379,1350,2100,Capital Avenue,,,,,
46,1010 N Emerson St Apt 202,1,1,1.0,1.0,N/A,N/A,39.732346,-104.976113,1.4617328575877195,1235,1235,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
47,1010 N Emerson St Apt 104,1,1,1.0,1.0,N/A,N/A,39.732346,-104.976113,1.4617328575877195,1185,1185,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
48,1010 N Emerson St Apt 204,1,1,1.0,1.0,N/A,N/A,39.732346,-104.976113,1.4617328575877195,1235,1235,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
49,1010 N Emerson St Apt 305,1,1,1.0,1.0,N/A,N/A,39.732346,-104.976113,1.4617328575877195,1235,1235,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
50,1010 N Emerson St Apt 306,1,1,1.0,1.0,N/A,N/A,39.732346,-104.976113,1.4617328575877195,1260,1260,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
51,1530 N Detroit St Unit 206,0,0,1.0,1.0,N/A,N/A,39.740762,-104.954525,1.4864109709632767,1390,1390,Colfax Avenue Park,,,,,
52,1530 N Detroit St Unit 213,0,0,1.0,1.0,N/A,N/A,39.740756,-104.954376,1.4898112055121076,1488,1488,Colfax Avenue Park,,,,,
53,1412 Steele St Apt 201,1,1,1.0,1.0,N/A,N/A,39.738612,-104.949161,1.4926919304481876,1525,1525,Capital Avenue,,,,,
54,1412 Steele St Apt 501,1,1,1.0,1.0,N/A,N/A,39.738612,-104.949161,1.4926919304481876,1570,1570,Capital Avenue,,,,,
55,1412 Steele St Apt 508,2,2,2.0,2.0,N/A,N/A,39.738612,-104.949161,1.4926919304481876,1910,1910,Capital Avenue,,,,,
56,1412 Steele St Apt 504,1,1,1.0,1.0,N/A,N/A,39.738612,-104.949161,1.4926919304481876,1495,1495,Capital Avenue,,,,,
57,1412 Steele St Apt 401,1,1,1.0,1.0,N/A,N/A,39.738612,-104.949161,1.4926919304481876,1560,1560,Capital Avenue,,,,,
58,3222 E 1st Ave,0,2,1.0,2.0,571,1527,39.71758,-104.94892,1.5007749682985982,1583,3270,Cherry Creek,Cherry Creek,80.0,49.0,79.0,5583.0
59,1375 N Marion St,2,2,1.5,1.5,2010,2010,39.738182,-104.972184,1.5361100793522207,2500,2500,Cheesman Park,Cheesman Park,85.0,53.0,90.0,7984.0
60,1044 N Clarkson St,3,3,2.5,2.5,1923,1923,39.732895,-104.977273,1.5756359378548452,3800,3800,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
61,790 N Washington St Apt 1406,1,1,1.0,1.0,753,753,39.728675,-104.978428,1.5816288069178435,1450,1450,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
62,1010 E 13th Ave Apt 6,1,1,1.0,1.0,N/A,N/A,39.736611,-104.974965,1.5972707205465995,1310,1310,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
63,1010 E 13th Ave Apt 10,2,2,1.0,1.0,N/A,N/A,39.736611,-104.974965,1.5972707205465995,1580,1580,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
64,1010 E 13th Ave Apt 15,1,1,1.0,1.0,N/A,N/A,39.736611,-104.974965,1.5972707205465995,1186,1186,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
65,1010 E 13th Ave Apt 20,2,2,1.0,1.0,N/A,N/A,39.736611,-104.974965,1.5972707205465995,1580,1580,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
66,1010 E 13th Ave Apt 12,0,0,1.0,1.0,N/A,N/A,39.736611,-104.974965,1.5972707205465995,1036,1036,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
67,1010 E 13th Ave Apt 14,0,0,1.0,1.0,N/A,N/A,39.736611,-104.974965,1.5972707205465995,1180,1180,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
68,1138 E 14th Ave Apt 10,1,1,1.0,1.0,N/A,N/A,39.738149,-104.973327,1.6017117923404214,1595,1595,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
69,1274 N Ogden St Apt 118,1,1,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1370,1370,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
70,1274 N Ogden St Apt 108,1,1,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1340,1340,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
71,1274 N Ogden St Apt 117,1,1,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1370,1370,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
72,1274 N Ogden St Apt 110,2,2,1.0,1.0,N/A,N/A,39.736527,-104.975111,1.6018209988473853,1575,1575,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
73,2900 E 16th Ave,0,3,1.0,2.0,566,1481,39.741465,-104.952946,1.6062606218775994,1525,3805,Colfax Avenue Park,,,,,
74,1220 N Emerson St Apt 11,1,1,1.0,1.0,N/A,N/A,39.735581,-104.976118,1.6154487808262532,1165,1165,Capitol Hill,Capitol Hill,93.0,66.0,96.0,14685.0
75,55 N Cook St,0,2,1.0,2.0,578,1348,39.716831,-104.947737,1.6294201559303045,1625,2988,Cherry Creek,Cherry Creek,80.0,49.0,79.0,5583.0
76,899 N Washington St,1,1,1.0,1.0,475,700,39.730173,-104.979091,1.6535463476030505,1325,1380,Emerys Capitol Hill,,,,,
77,1607 N Gilpin St # 1615-2,2,2,1.0,1.0,1220,1220,39.741849,-104.967521,1.6638434373323598,1795,1795,City Park West,City Park West,85.0,55.0,95.0,4854.0
78,1607 N Gilpin St # 1607-9,1,1,1.0,1.0,600,600,39.741849,-104.967521,1.6638434373323598,1000,1000,City Park West,City Park West,85.0,55.0,95.0,4854.0
79,901 Colorado Blvd,0,3,1.0,2.0,660,1528,39.73131,-104.94094,1.666183025569034,1376,1761,Capital Avenue,,,,,
80,1553 Steele St Apt 1,3,3,2.0,2.0,950,950,39.74121,-104.950443,1.6730035626844058,2300,2300,Colfax Avenue Park,,,,,
81,1570-1578 Humboldt St,0,1,1.0,1.0,291,588,39.74133,-104.96933,1.6789676048518758,1110,1695,City Park West,City Park West,85.0,55.0,95.0,4854.0
